specie,a,aloc,intrado,interdo,e,tr,trmo,clusterid,clusterunif
Aspitates ochrearia,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,3,low
Bacillus rossius,-0.58856428,-0.85404646,-0.57686466,-1.135166,-1.0540457,-1.139811,-0.58265203,3,low
Cacyreus marshalli,-0.58313191,-0.79124212,-0.57323468,-1.0529008,-0.84311652,-1.139811,-0.58265203,3,low
Caretta caretta,-0.58776289,-0.90244275,-0.56234473,-0.97063553,-1.216585,-0.87287098,-0.58265203,3,low
Curruca subalpina,-0.58126295,-0.81709665,-0.56960469,-0.97063553,-0.92994922,-1.139811,-0.58265203,3,low
Dolycoris baccarum,-0.56914896,-0.65803617,-0.56597471,-0.97063553,-0.4672212,-1.139811,-0.58265203,3,low
Dorcus parallelipipedus,-0.58090079,-0.81234133,-0.56597471,-0.97063553,-0.91397846,-0.87287098,-0.58265203,3,low
Emys orbicularis,-0.57777506,-0.77129918,-0.56960469,-0.97063553,-0.77613807,-1.139811,-0.58265203,3,low
"Erinaceus Linnaeus,",-0.57697296,-0.66993856,-0.57323468,-1.0529008,-0.43571749,-1.139811,-0.58265203,3,low
Eristalinus taeniops,-0.57707679,-0.67198342,-0.56960469,-1.0529008,-0.44258502,-1.139811,-0.58265203,3,low
Eupeodes corollae,-0.58918703,-0.87857676,-0.57686466,-1.135166,-1.1364309,-1.139811,-0.58265203,3,low
Euplagia quadripunctaria,-0.578049,-0.81677818,-0.56597471,-0.88837028,-0.92887974,-1.139811,-0.58265203,3,low
Evarcha jucunda,-0.58151585,-0.75941288,-0.56234473,-1.0529008,-0.73621774,-0.33899081,-0.58265203,3,low
Exochomus quadripustulatus,-0.58969235,-0.89848226,-0.57686466,-1.135166,-1.2032838,-1.139811,-0.58265203,3,low
Glareola pratincola,-0.57785618,-0.81487942,-0.55145478,-0.88837028,-1.1341337,-1.139811,-0.58265203,3,low
